"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2017년 12월 19일","799.98","783.99","863.00","750.01","1.81M","2.04%"
"2017년 12월 18일","783.99","708.78","798.90","660.00","1.47M","10.61%"
"2017년 12월 17일","708.78","683.25","725.00","683.24","737.16K","3.74%"
"2017년 12월 16일","683.25","678.29","711.96","672.51","703.29K","0.73%"
"2017년 12월 15일","678.29","686.51","698.31","610.00","1.26M","-1.20%"
"2017년 12월 14일","686.51","690.69","760.00","651.00","1.73M","-0.61%"
"2017년 12월 13일","690.69","634.87","742.00","573.00","2.40M","8.79%"
"2017년 12월 12일","634.87","515.25","646.92","497.75","1.49M","23.22%"
"2017년 12월 11일","515.25","429.24","531.20","429.14","784.74K","20.04%"
"2017년 12월 10일","429.24","460.92","460.92","413.30","875.79K","-6.87%"
"2017년 12월 09일","460.92","442.19","487.80","441.00","1.13M","4.24%"
"2017년 12월 08일","442.19","415.02","453.61","400.34","1.12M","6.55%"
"2017년 12월 07일","415.02","413.71","429.00","390.00","1.13M","0.32%"
"2017년 12월 06일","413.71","451.87","454.23","403.00","1.29M","-8.44%"
"2017년 12월 05일","451.87","465.00","467.38","444.17","656.34K","-2.82%"
"2017년 12월 04일","465.00","459.49","471.06","439.27","431.18K","1.20%"
"2017년 12월 03일","459.49","455.51","482.69","431.04","482.91K","0.87%"
"2017년 12월 02일","455.51","460.67","472.00","447.00","473.67K","-1.12%"
"2017년 12월 01일","460.67","432.21","467.00","413.96","594.10K","6.58%"
"2017년 11월 30일","432.21","420.34","454.95","385.40","785.98K","2.82%"
"2017년 11월 29일","420.34","465.56","517.00","403.01","801.26K","-9.71%"
"2017년 11월 28일","465.56","473.44","479.00","457.20","538.34K","-1.66%"
"2017년 11월 27일","473.44","464.00","491.89","458.25","671.20K","2.03%"
"2017년 11월 26일","464.00","464.00","464.00","464.00","-","0.00%"
"2017년 11월 25일","464.00","469.89","481.99","454.40","589.72K","-1.38%"
"2017년 11월 24일","470.51","405.19","478.50","397.37","903.70K","16.12%"
"2017년 11월 23일","405.19","380.48","426.27","374.34","925.00K","6.49%"
"2017년 11월 22일","380.48","360.00","381.89","358.80","486.17K","5.69%"
"2017년 11월 21일","360.00","367.94","373.50","350.00","696.99K","-2.16%"
"2017년 11월 20일","367.94","354.70","373.70","352.03","519.57K","3.73%"
"2017년 11월 19일","354.70","346.68","371.00","343.28","618.02K","2.31%"
